trial,filter,tagp_total_deg,tagp_heading_deg,tagp_inclination_deg,zero_shot_total_deg
21_undisturbed_fast_combined.hdf5,Mahony,15.65603878950083,13.006189107285904,8.737978890712567,
21_undisturbed_fast_combined.hdf5,Madgwick,6.526435280996141,4.974179507732823,4.226476693730003,
21_undisturbed_fast_combined.hdf5,MEKF,21.83035154523436,20.523886114935618,7.494275943323105,
21_undisturbed_fast_combined.hdf5,ARBITER,19.846863801058575,13.31522899251402,14.760676378122223,
21_undisturbed_fast_combined.hdf5,VQF,4.198002393318289,3.831247288051554,1.716277484608398,
22_undisturbed_fast_combined_240s.hdf5,Complementary,4.286531917867996,3.224859899396004,2.82426431377467,
22_undisturbed_fast_combined_240s.hdf5,Mahony,7.438774950143887,5.4079858732427555,5.109749214095097,
22_undisturbed_fast_combined_240s.hdf5,Madgwick,7.1856033363871745,6.510022250427816,3.0435933410349376,
22_undisturbed_fast_combined_240s.hdf5,MEKF,7.324581699166879,6.447941750207719,3.4763262016149428,
22_undisturbed_fast_combined_240s.hdf5,ARBITER,21.036605232310908,20.919186193943677,2.2239721581609766,
22_undisturbed_fast_combined_240s.hdf5,VQF,2.5691034084110416,2.3647602334327846,1.0041372582265973,
23_undisturbed_fast_combined_360s.hdf5,Complementary,5.631621749217168,4.251245483726713,3.6947373232949263,
23_undisturbed_fast_combined_360s.hdf5,Mahony,7.091124246868664,3.958726116164372,5.884450956713468,
23_undisturbed_fast_combined_360s.hdf5,Madgwick,7.730700843080395,7.0613418578276566,3.148671448479273,
23_undisturbed_fast_combined_360s.hdf5,MEKF,9.258095390188148,7.67919136493461,5.177404229364608,
23_undisturbed_fast_combined_360s.hdf5,ARBITER,32.83062733970693,32.63530244749219,3.668563546512946,
23_undisturbed_fast_combined_360s.hdf5,VQF,2.5557641581940787,2.4221484025623896,0.8156080003002523,
24_disturbed_tapping_A.hdf5,Complementary,4.682405226367923,4.112073669326168,2.2400442962919818,
24_disturbed_tapping_A.hdf5,Mahony,3.6677416874979722,3.5214859048200653,1.0255597542986494,
24_disturbed_tapping_A.hdf5,Madgwick,2.6467314304509255,2.3498698390595596,1.217977869767077,
24_disturbed_tapping_A.hdf5,MEKF,3.549040700585775,3.4919798806451126,0.6339471872650863,
24_disturbed_tapping_A.hdf5,ARBITER,4.339014432420778,3.4602106606200755,2.618480867517549,
24_disturbed_tapping_A.hdf5,VQF,3.52043185303776,3.467667175842138,0.607328686879965,
25_disturbed_tapping_B.hdf5,Complementary,2.9360985099432177,0.7625613290865868,2.8353614785246184,
25_disturbed_tapping_B.hdf5,Mahony,3.784156450991995,2.712850408515043,2.638517140769909,
